"Inkomen van huishoudens; huishoudenskenmerken, regio (indeling 2023)"
"Populatie: Particuliere huishoudens incl. studenten"
"Kenmerken van huishoudens: Particuliere huishoudens"
"Perioden: 2022*"
"";"Onderwerp"
"";"Inkomen|Gemiddeld gestandaardiseerd inkomen"
"Regio's";"1 000 euro"
"Aa en Hunze";"36,7"
"Aalsmeer";"41,5"
"Aalten";"34,1"
"Achtkarspelen";"31,2"
"Alblasserdam";"35,2"
"Albrandswaard";"41,8"
"Alkmaar";"35,0"
"Almelo";"31,5"
"Almere";"35,5"
"Alphen aan den Rijn";"37,3"
"Alphen-Chaam";"40,0"
"Altena";"37,5"
"Ameland";"."
"Amersfoort";"37,6"
"Amstelveen";"40,7"
"Amsterdam";"36,8"
"Apeldoorn";"35,3"
"Arnhem";"31,7"
"Assen";"32,8"
"Asten";"35,8"
"Baarle-Nassau";"35,8"
"Baarn";"41,5"
"Barendrecht";"41,0"
"Barneveld";"37,4"
"Beek (L.)";"35,7"
"Beekdaelen";"35,8"
"Beesel";"33,4"
"Berg en Dal";"35,1"
"Bergeijk";"39,2"
"Bergen (L.)";"34,2"
"Bergen (NH.)";"43,6"
"Bergen op Zoom";"34,4"
"Berkelland";"34,6"
"Bernheze";"38,9"
"Best";"38,5"
"Beuningen";"37,3"
"Beverwijk";"34,1"
"De Bilt";"44,1"
"Bladel";"37,4"
"Blaricum";"62,8"
"Bloemendaal";"74,3"
"Bodegraven-Reeuwijk";"40,6"
"Boekel";"38,7"
"Borger-Odoorn";"34,1"
"Borne";"36,6"
"Borsele";"36,4"
"Boxtel";"37,1"
"Breda";"36,1"
"Bronckhorst";"38,1"
"Brummen";"36,5"
"Brunssum";"30,9"
"Bunnik";"41,2"
"Bunschoten";"37,9"
"Buren";"39,0"
"Capelle aan den IJssel";"34,5"
"Castricum";"41,1"
"Coevorden";"33,8"
"Cranendonck";"36,6"
"Culemborg";"36,4"
"Dalfsen";"36,7"
"Dantumadiel";"31,6"
"Delft";"29,7"
"Deurne";"35,5"
"Deventer";"33,3"
"Diemen";"35,1"
"Dijk en Waard";"36,5"
"Dinkelland";"38,4"
"Doesburg";"32,8"
"Doetinchem";"34,1"
"Dongen";"36,5"
"Dordrecht";"34,3"
"Drechterland";"38,1"
"Drimmelen";"37,6"
"Dronten";"35,1"
"Druten";"36,0"
"Duiven";"35,9"
"Echt-Susteren";"34,6"
"Edam-Volendam";"40,2"
"Ede";"36,4"
"Eemnes";"40,9"
"Eemsdelta";"31,0"
"Eersel";"40,5"
"Eijsden-Margraten";"38,6"
"Eindhoven";"33,3"
"Elburg";"35,2"
"Emmen";"31,5"
"Enkhuizen";"34,8"
"Enschede";"29,2"
"Epe";"37,0"
"Ermelo";"37,5"
"Etten-Leur";"35,6"
"De Fryske Marren";"35,1"
"Geertruidenberg";"35,7"
"Geldrop-Mierlo";"36,8"
"Gemert-Bakel";"35,3"
"Gennep";"34,6"
"Gilze en Rijen";"35,3"
"Goeree-Overflakkee";"36,9"
"Goes";"34,9"
"Goirle";"37,8"
"Gooise Meren";"46,3"
"Gorinchem";"37,7"
"Gouda";"34,9"
"'s-Gravenhage (gemeente)";"33,8"
"Groningen (gemeente)";"28,7"
"Gulpen-Wittem";"35,8"
"Haaksbergen";"35,3"
"Haarlem";"37,6"
"Haarlemmermeer";"39,7"
"Halderberge";"35,6"
"Hardenberg";"34,8"
"Harderwijk";"35,3"
"Hardinxveld-Giessendam";"36,3"
"Harlingen";"31,4"
"Hattem";"38,0"
"Heemskerk";"36,1"
"Heemstede";"48,9"
"Heerde";"36,1"
"Heerenveen";"33,6"
"Heerlen";"29,3"
"Heeze-Leende";"41,1"
"Heiloo";"41,3"
"Den Helder";"32,1"
"Hellendoorn";"35,2"
"Helmond";"33,5"
"Hendrik-Ido-Ambacht";"38,8"
"Hengelo (O.)";"32,8"
"'s-Hertogenbosch";"36,6"
"Heumen";"39,1"
"Heusden";"37,1"
"Hillegom";"36,8"
"Hilvarenbeek";"39,2"
"Hilversum";"38,7"
"Hoeksche Waard";"39,0"
"Hof van Twente";"36,7"
"Het Hogeland";"32,3"
"Hollands Kroon";"35,2"
"Hoogeveen";"32,0"
"Hoorn";"34,8"
"Horst aan de Maas";"35,9"
"Houten";"40,6"
"Huizen";"39,3"
"Hulst";"35,1"
"IJsselstein";"39,2"
"Kaag en Braassem";"39,9"
"Kampen";"33,9"
"Kapelle";"36,6"
"Katwijk";"36,8"
"Kerkrade";"29,7"
"Koggenland";"38,0"
"Krimpen aan den IJssel";"36,2"
"Krimpenerwaard";"37,3"
"Laarbeek";"36,4"
"Land van Cuijk";"36,1"
"Landgraaf";"32,2"
"Landsmeer";"41,8"
"Lansingerland";"43,4"
"Laren (NH.)";"62,9"
"Leeuwarden";"30,3"
"Leiden";"32,2"
"Leiderdorp";"38,4"
"Leidschendam-Voorburg";"39,0"
"Lelystad";"33,2"
"Leudal";"36,4"
"Leusden";"40,7"
"Lingewaard";"36,4"
"Lisse";"37,5"
"Lochem";"39,7"
"Loon op Zand";"36,4"
"Lopik";"39,4"
"Losser";"34,6"
"Maasdriel";"37,3"
"Maasgouw";"36,4"
"Maashorst";"36,4"
"Maassluis";"34,7"
"Maastricht";"29,5"
"Medemblik";"35,8"
"Meerssen";"37,3"
"Meierijstad";"37,3"
"Meppel";"33,8"
"Middelburg (Z.)";"33,7"
"Midden-Delfland";"42,1"
"Midden-Drenthe";"35,2"
"Midden-Groningen";"31,7"
"Moerdijk";"36,3"
"Molenlanden";"39,6"
"Montferland";"34,5"
"Montfoort";"39,8"
"Mook en Middelaar";"42,1"
"Neder-Betuwe";"35,3"
"Nederweert";"36,0"
"Nieuwegein";"34,9"
"Nieuwkoop";"40,1"
"Nijkerk";"38,5"
"Nijmegen";"30,3"
"Nissewaard";"34,5"
"Noardeast-Fryslân";"31,7"
"Noord-Beveland";"37,0"
"Noordenveld";"36,0"
"Noordoostpolder";"34,3"
"Noordwijk";"40,1"
"Nuenen, Gerwen en Nederwetten";"41,3"
"Nunspeet";"36,0"
"Oegstgeest";"47,1"
"Oirschot";"39,6"
"Oisterwijk";"41,6"
"Oldambt";"30,7"
"Oldebroek";"34,9"
"Oldenzaal";"34,6"
"Olst-Wijhe";"36,2"
"Ommen";"35,9"
"Oost Gelre";"36,1"
"Oosterhout";"36,1"
"Ooststellingwerf";"32,9"
"Oostzaan";"38,8"
"Opmeer";"37,2"
"Opsterland";"34,7"
"Oss";"35,0"
"Oude IJsselstreek";"33,5"
"Ouder-Amstel";"43,3"
"Oudewater";"40,1"
"Overbetuwe";"37,1"
"Papendrecht";"35,9"
"Peel en Maas";"35,4"
"Pekela";"29,5"
"Pijnacker-Nootdorp";"41,9"
"Purmerend";"35,4"
"Putten";"37,7"
"Raalte";"35,5"
"Reimerswaal";"34,7"
"Renkum";"38,9"
"Renswoude";"."
"Reusel-De Mierden";"37,2"
"Rheden";"34,6"
"Rhenen";"37,8"
"Ridderkerk";"34,9"
"Rijssen-Holten";"37,6"
"Rijswijk (ZH.)";"35,4"
"Roerdalen";"34,9"
"Roermond";"32,8"
"De Ronde Venen";"43,5"
"Roosendaal";"33,8"
"Rotterdam";"31,8"
"Rozendaal";"."
"Rucphen";"34,7"
"Schagen";"36,6"
"Scherpenzeel";"37,4"
"Schiedam";"32,7"
"Schiermonnikoog";"."
"Schouwen-Duiveland";"37,0"
"Simpelveld";"33,5"
"Sint-Michielsgestel";"40,3"
"Sittard-Geleen";"32,7"
"Sliedrecht";"33,9"
"Sluis";"34,3"
"Smallingerland";"32,2"
"Soest";"39,5"
"Someren";"37,1"
"Son en Breugel";"42,0"
"Stadskanaal";"30,5"
"Staphorst";"37,0"
"Stede Broec";"34,6"
"Steenbergen";"34,4"
"Steenwijkerland";"34,4"
"Stein (L.)";"34,2"
"Stichtse Vecht";"41,0"
"Súdwest-Fryslân";"33,6"
"Terneuzen";"33,9"
"Terschelling";"34,5"
"Texel";"35,2"
"Teylingen";"41,3"
"Tholen";"34,5"
"Tiel";"33,0"
"Tilburg";"31,4"
"Tubbergen";"37,6"
"Twenterand";"33,1"
"Tynaarlo";"39,1"
"Tytsjerksteradiel";"33,8"
"Uitgeest";"38,9"
"Uithoorn";"38,1"
"Urk";"34,9"
"Utrecht (gemeente)";"34,9"
"Utrechtse Heuvelrug";"42,3"
"Vaals";"30,6"
"Valkenburg aan de Geul";"35,8"
"Valkenswaard";"35,8"
"Veendam";"31,3"
"Veenendaal";"35,0"
"Veere";"38,4"
"Veldhoven";"38,5"
"Velsen";"35,8"
"Venlo";"32,2"
"Venray";"34,9"
"Vijfheerenlanden";"36,5"
"Vlaardingen";"32,7"
"Vlieland";"."
"Vlissingen";"31,3"
"Voerendaal";"36,7"
"Voorne aan Zee";"38,9"
"Voorschoten";"42,2"
"Voorst";"37,9"
"Vught";"44,1"
"Waadhoeke";"32,5"
"Waalre";"44,1"
"Waalwijk";"34,3"
"Waddinxveen";"36,9"
"Wageningen";"27,4"
"Wassenaar";"56,6"
"Waterland";"41,3"
"Weert";"34,8"
"West Betuwe";"39,0"
"West Maas en Waal";"36,6"
"Westerkwartier";"34,9"
"Westerveld";"36,6"
"Westervoort";"33,4"
"Westerwolde";"31,8"
"Westland";"37,6"
"Weststellingwerf";"32,5"
"Wierden";"38,4"
"Wijchen";"36,4"
"Wijdemeren";"45,0"
"Wijk bij Duurstede";"38,6"
"Winterswijk";"33,6"
"Woensdrecht";"35,0"
"Woerden";"39,6"
"De Wolden";"38,1"
"Wormerland";"37,4"
"Woudenberg";"38,5"
"Zaanstad";"34,1"
"Zaltbommel";"36,6"
"Zandvoort";"37,5"
"Zeewolde";"36,6"
"Zeist";"40,4"
"Zevenaar";"33,8"
"Zoetermeer";"35,5"
"Zoeterwoude";"40,2"
"Zuidplas";"39,6"
"Zundert";"37,0"
"Zutphen";"33,2"
"Zwartewaterland";"36,0"
"Zwijndrecht";"34,4"
"Zwolle";"34,2"
"Bron: CBS"
