municipality,m2_price,population,pop_density,size,avg_income,homes_per_capita,unemp_rate,net_labor_participation,multy_family,distance_to_urban_center,station_count,traffic,has_station,log_avg_income,log_distance,log_homes_per_capita,log_multy_family,log_m2_price,c_log_multy_fam,c_log_distance,station_x_multy_fam,station_x_distance,station_x_c_multy_fam,station_x_c_distance
Landsmeer,5117.459677419355,11705.0,522.0,2244.0,41.8,0.4199060230670653,3.1,73.2,14.933875890132247,9.330804439122392,0,0,0,3.7328963395307104,2.2333212318415394,-0.8677243473437442,2.70363218202134,8.54041343815303,-0.3302517840273338,-1.107927069188133,0.0,0.0,-0.0,-0.0
Noord-Beveland,2476.4094488188975,7857.0,91.0,8600.0,37.0,0.6027745959017436,2.7,69.7,9.881756756756758,62.22222062161065,0,0,0,3.610917912644224,4.130712180668861,-0.50621195661198,2.2906903053418968,7.814564987184114,-0.7431936607067771,0.7894638796391886,0.0,0.0,-0.0,0.0
Zandvoort,5740.198113207547,17542.0,547.0,3208.0,37.5,0.560084368943108,3.5,69.5,52.80407124681934,24.514560633536917,1,90,1,3.624340932976365,3.199267252590434,-0.5796678477738649,3.966588294686964,8.65524900321409,0.93270432863829,-0.1419810484392383,3.966588294686964,3.199267252590434,0.93270432863829,-0.1419810484392383
Bloemendaal,6559.120481927711,23922.0,602.0,3977.0,74.3,0.4289775102416186,3.1,72.3,27.64568310270902,21.651777766706047,2,155,1,4.308110951723714,3.0750875650129483,-0.8463507851074998,3.319469589295033,8.788611800072688,0.2855856232463587,-0.2661607360167242,3.319469589295033,3.0750875650129483,0.2855856232463587,-0.2661607360167242
Ameland,2454.5416666666665,3840.0,68.0,5659.0,47.5,0.4841145833333333,2.9,74.6,20.763851533082303,60.50234108626485,0,0,0,3.8607297110405954,4.10268205992888,-0.7254336578603285,3.033213567731478,7.805695328977029,-0.0006703983171956,0.7614337588992077,0.0,0.0,-0.0,0.0
Tubbergen,2085.0102040816328,21408.0,146.0,14700.0,37.6,0.4097066517189835,2.6,75.4,24.478394709839243,90.99710156479176,0,0,0,3.6270040503958487,4.510827655073244,-0.8923138589765733,3.1977908799154906,7.642529028264875,0.1639069138668167,1.169579354043571,0.0,0.0,0.0,0.0
Wageningen,4228.0,40960.0,1347.0,3042.0,27.4,0.453125,4.4,73.3,52.279094827586206,39.400289606086545,0,0,0,3.310543013394025,3.673773166685162,-0.7915872533731978,3.956596574673199,8.349484346990128,0.9227126086245256,0.3325248656554893,0.0,0.0,0.0,0.0
Amsterdam,7378.714285714285,918117.0,4880.0,18812.0,36.8,0.517217304548331,5.0,72.9,87.36254016922669,0.4484067223779206,11,3777,1,3.605497845174886,-0.8020545959742962,-0.659292174507388,4.47006658860256,8.906354686389268,1.4361826225538858,-4.143302897003968,4.47006658860256,-0.8020545959742962,1.4361826225538858,-4.143302897003968
Staphorst,1634.43661971831,17628.0,132.0,13394.0,37.0,0.3459836623553438,2.7,78.6,16.215773077553695,69.4715920347327,0,0,0,3.610917912644224,4.240917921308946,-1.0613637236654214,2.785984415314347,7.39905344885588,-0.2478995507343269,0.8996696202792736,0.0,0.0,-0.0,0.0
Renswoude,2794.22,5747.0,313.0,1839.0,59.4,0.3814163911606055,2.6,79.3,13.594890510948904,28.38688245459139,0,0,0,4.084294226368599,3.3459271530635295,-0.9638636104398354,2.6096940244255897,7.935308276874545,-0.4241899416230841,0.0046788520338569,0.0,0.0,-0.0,0.0
